gender,num_of_module_created,num_of_modules_thirty_sec,num_of_problens,num_of_video,num_of_problem_uploads,average_grade,seventy_uploads,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,Grand_Total
1,17,4,4,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,18
2,22,4,9,0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,1,23
2,72,52,36,13,19.0,0.97,0,1,0,0,0,0,0,0,1,1,1,73
1,57,37,25,8,13.0,0.83,0,0,0,0,0,0,0,0,1,1,1,58
2,32,8,13,4,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,33
1,14,2,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,15
1,17,4,5,0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,18
1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,5
1,29,17,11,5,6.0,1.0,0,0,0,0,0,0,0,0,0,0,1,30
1,20,10,7,3,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1,21
2,20,11,9,1,6.0,1.0,0,0,0,0,0,1,0,0,0,0,0,21
2,21,11,9,3,4.0,0.71,0,0,0,0,0,1,1,0,0,0,0,22
1,172,112,86,14,53.0,0.91,0,1,1,0,0,1,1,1,1,1,1,173
1,156,68,86,2,40.0,1.0,0,1,1,0,0,1,1,1,1,1,1,158
1,33,3,17,1,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,34
1,94,71,46,16,29.0,0.96,0,1,0,0,0,0,0,0,1,1,1,95
1,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
2,13,1,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,14
1,11,6,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,12
1,36,14,16,1,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,37
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,23,9,7,5,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
2,21,5,9,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,22
2,11,1,5,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12
1,6,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,7
1,15,6,6,3,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,16
1,11,0,4,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,12
1,12,2,4,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,13
1,30,6,11,0,2.0,0.94,0,0,0,0,0,0,0,0,0,0,1,31
1,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
1,51,18,24,0,11.0,1.0,0,0,0,0,0,0,0,0,1,1,1,52
1,167,59,86,27,11.0,1.0,0,1,1,0,0,1,1,1,1,1,0,169
1,7,6,2,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,8
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,56,44,23,11,18.0,1.0,0,0,0,0,0,0,1,0,1,1,1,57
1,14,7,2,1,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,15
1,27,12,8,5,2.0,0.94,0,0,0,0,0,0,1,0,0,0,1,28
1,14,8,2,3,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,15
1,34,24,11,8,7.0,1.0,0,0,0,0,0,0,1,0,0,0,1,35
1,12,5,2,1,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,13
1,94,67,46,16,24.0,0.99,0,1,0,0,0,0,0,0,1,1,1,95
1,51,30,24,6,12.0,1.0,0,0,0,0,0,0,0,0,1,1,1,52
1,40,8,16,3,1.0,0.0,0,0,0,0,0,0,1,1,0,0,0,41
1,8,4,2,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9
1,50,12,27,4,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,51
1,87,61,44,13,27.0,0.84,0,1,0,0,0,0,0,0,1,1,1,88
2,24,11,7,4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,25
1,30,7,11,3,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,31
2,9,1,3,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,10
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,26,18,7,3,6.0,1.0,0,0,0,0,0,0,1,0,0,0,1,27
1,32,9,13,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,33
1,24,8,11,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,1,25
2,31,19,11,7,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,32
1,15,9,5,0,5.0,0.88,0,0,0,0,0,0,0,0,0,0,1,16
1,173,140,86,33,55.0,1.0,0,1,1,0,0,1,1,1,1,1,1,174
2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,170,109,86,29,38.0,0.94,0,1,1,0,0,1,1,1,1,1,1,171
2,125,73,64,14,25.0,1.0,0,1,0,0,0,1,1,0,1,1,1,126
2,13,5,6,2,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,14
2,175,129,87,24,81.0,0.97,1,1,1,0,0,1,1,1,1,1,1,176
1,173,127,86,25,51.0,1.0,0,1,1,0,0,1,1,1,1,1,1,175
2,64,39,32,10,15.0,1.0,0,1,0,0,0,0,0,0,1,1,1,65
1,57,18,32,0,12.0,1.0,0,1,0,0,0,0,0,0,1,1,0,58
1,22,7,7,4,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,23
2,34,21,17,5,8.0,1.0,0,0,0,0,0,0,0,0,0,1,1,35
1,34,1,15,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1,35
1,165,90,84,28,25.0,0.84,0,1,1,0,0,1,1,1,1,1,1,166
1,15,4,5,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,16
2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,106,55,55,17,21.0,1.0,0,1,0,0,0,0,0,0,1,1,1,107
2,190,45,109,12,0.0,0.0,0,1,1,1,1,1,1,1,1,1,1,191
1,172,154,86,28,77.0,1.0,1,1,1,0,0,1,1,1,1,1,1,173
2,57,39,25,9,16.0,1.0,0,0,0,0,0,0,0,0,1,1,1,58
2,44,23,19,10,3.0,1.0,0,0,0,0,0,0,0,0,0,1,1,45
1,140,95,69,15,43.0,1.0,0,1,0,0,0,1,1,0,1,1,1,141
2,126,99,63,22,42.0,1.0,0,1,0,0,0,1,0,0,1,1,1,127
1,18,6,8,0,2.0,0.5,0,0,0,0,0,0,0,1,0,0,0,19
1,17,6,5,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,18
1,9,3,2,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,10
2,24,6,8,3,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,25
1,173,138,86,24,64.0,1.0,1,1,1,0,0,1,1,1,1,1,1,175
1,174,108,87,29,42.0,0.98,0,1,1,0,0,1,1,1,1,1,1,175
1,7,1,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8
1,8,3,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,9
